pod,traffic_mode,topics,window_total,window_viol,msg_rate_window,lat_window_seconds,lat_count_window,lat_p95_ms,lat_p99_ms,cpu_percent,mem_percent,uptime_sec,total_lag,max_lag,lag_skew_ratio,consumed_total,file,viol_rate,t_bucket
consumer-sts-0,skew,B0-R100-20260223-223213_0,1118,1118,18.633333,30.0,1118,2323.621,2987.158,0.0,14.6,30.032,0.0,0.0,0.0,1118,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,30
consumer-sts-0,skew,B0-R100-20260223-223213_0,3889,3889,64.816667,30.0,2767,8557.791,8711.4,6.9,14.6,60.064,682.0,533.0,6.252199,3889,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,60
consumer-sts-0,skew,B0-R100-20260223-223213_0,5617,5617,93.616667,30.0,2846,14500.511,14592.957,8.6,14.6,90.092,1396.0,1117.0,6.401146,6739,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,90
consumer-sts-0,skew,B0-R100-20260223-223213_0,5659,5659,94.316667,30.0,2810,20465.629,20577.939,8.9,14.6,120.121,2116.0,1654.0,6.253308,9554,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,120
consumer-sts-0,skew,B0-R100-20260223-223213_0,5682,5682,94.7,30.0,2870,27150.341,27507.366,7.7,14.6,150.153,2896.0,2277.0,6.290055,12427,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,150
consumer-sts-0,skew,B0-R100-20260223-223213_0,5687,5687,94.783333,30.0,2816,32837.442,33074.16,7.2,14.6,180.185,3564.0,2855.0,6.40853,15247,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,180
consumer-sts-0,skew,B0-R100-20260223-223213_0,5688,5688,94.8,30.0,2869,38812.818,39004.304,8.3,14.6,210.197,4245.0,3373.0,6.356655,18118,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,210
consumer-sts-0,skew,B0-R100-20260223-223213_0,5829,5829,97.15,30.0,2957,43846.456,49229.669,7.2,14.6,240.228,4823.0,3817.0,6.331329,21079,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,240
consumer-sts-0,skew,B0-R100-20260223-223213_0,5919,5919,98.65,30.0,2959,51159.833,60148.851,7.6,14.6,270.257,5313.0,4119.0,6.202146,24043,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,270
consumer-sts-0,skew,B0-R100-20260223-223213_0,5888,5888,98.133333,30.0,2926,55416.186,60256.839,7.1,14.6,300.288,6014.0,4702.0,6.254739,26973,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,300
consumer-sts-0,skew,B0-R100-20260223-223213_0,5885,5885,98.083333,30.0,2956,61299.574,61866.077,7.8,14.6,330.32,6700.0,5501.0,6.568358,29933,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,330
consumer-sts-0,skew,B0-R100-20260223-223213_0,5917,5917,98.616667,30.0,2958,66608.608,68989.778,7.4,14.6,360.352,7261.0,5903.0,6.503787,32895,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,360
consumer-sts-0,skew,B0-R100-20260223-223213_0,5918,5918,98.633333,30.0,2958,75504.522,75895.872,8.2,14.6,390.385,7889.0,6849.0,6.945367,35857,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,390
consumer-sts-0,skew,B0-R100-20260223-223213_0,5920,5920,98.666667,30.0,2960,80802.004,80828.406,7.0,14.6,420.417,8464.0,7198.0,6.803403,38821,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,420
consumer-sts-0,skew,B0-R100-20260223-223213_0,5919,5919,98.65,30.0,2956,84941.224,84978.836,8.8,14.6,450.448,8959.0,7687.0,6.864159,41781,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,450
consumer-sts-0,skew,B0-R100-20260223-223213_0,5916,5916,98.6,30.0,2957,92547.447,92668.908,8.5,14.6,480.47,9520.0,8475.0,7.121849,44742,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,480
consumer-sts-0,skew,B0-R100-20260223-223213_0,5917,5917,98.616667,30.0,2958,99943.921,100376.679,11.0,14.6,510.502,10128.0,9047.0,7.14613,47703,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,510
consumer-sts-0,skew,B0-R100-20260223-223213_0,5919,5919,98.65,30.0,2959,105321.772,105414.979,6.9,14.6,540.533,10718.0,9572.0,7.144617,50666,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,540
consumer-sts-0,skew,B0-R100-20260223-223213_0,5921,5921,98.683333,30.0,2959,109367.461,110708.128,8.1,14.6,570.564,11304.0,10226.0,7.237084,53630,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,570
consumer-sts-0,skew,B0-R100-20260223-223213_0,5918,5918,98.633333,30.0,2956,115849.292,115935.006,7.8,14.6,600.596,11952.0,10707.0,7.166667,56590,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,600
consumer-sts-0,skew,B0-R100-20260223-223213_0,5917,5917,98.616667,30.0,2959,124855.309,124904.022,8.0,14.6,630.628,12558.0,11566.0,7.368052,59553,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,630
consumer-sts-0,skew,B0-R100-20260223-223213_0,5918,5918,98.633333,30.0,2957,130413.659,130509.615,7.2,14.6,660.66,13151.0,12113.0,7.368565,62514,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,660
consumer-sts-0,skew,B0-R100-20260223-223213_0,5918,5918,98.633333,30.0,2958,137269.731,137930.633,8.5,14.6,690.692,13719.0,12712.0,7.412785,65476,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,690
consumer-sts-0,skew,B0-R100-20260223-223213_0,5918,5918,98.633333,30.0,2958,143278.617,143414.523,8.6,14.6,720.724,14233.0,13145.0,7.388463,68438,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,720
consumer-sts-0,skew,B0-R100-20260223-223213_0,5917,5917,98.616667,30.0,2957,146230.181,146322.433,8.3,14.6,750.756,14880.0,13654.0,7.34086,71399,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,750
consumer-sts-0,skew,B0-R100-20260223-223213_0,5912,5912,98.533333,30.0,2952,156962.312,157013.588,7.1,14.6,780.788,15438.0,14358.0,7.440342,74355,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,780
consumer-sts-0,skew,B0-R100-20260223-223213_0,5913,5913,98.55,30.0,2959,162984.26,163024.501,8.2,14.6,810.82,16060.0,14924.0,7.434122,77318,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,810
consumer-sts-0,skew,B0-R100-20260223-223213_0,5918,5918,98.633333,30.0,2958,166469.289,166550.222,7.3,14.6,840.852,16681.0,15558.0,7.461423,80280,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,840
consumer-sts-0,skew,B0-R100-20260223-223213_0,5917,5917,98.616667,30.0,2957,173455.486,175146.352,8.0,14.6,870.884,17351.0,15900.0,7.33099,83241,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,870
consumer-sts-0,skew,B0-R100-20260223-223213_0,5919,5919,98.65,30.0,2959,180615.812,180648.524,6.8,14.6,900.916,17896.0,16795.0,7.507823,86204,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,900
consumer-sts-0,skew,B0-R100-20260223-223213_0,5920,5920,98.666667,30.0,2959,188310.898,189446.102,7.3,14.6,930.948,18476.0,17508.0,7.580862,89167,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,930
consumer-sts-0,skew,B0-R100-20260223-223213_0,5920,5920,98.666667,30.0,2959,193671.886,193724.105,6.9,14.6,960.976,19101.0,17912.0,7.502016,92130,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,960
consumer-sts-0,skew,B0-R100-20260223-223213_0,5918,5918,98.633333,30.0,2956,201226.909,201336.766,7.5,14.6,991.008,19675.0,18440.0,7.49784,95090,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,990
consumer-sts-0,skew,B0-R100-20260223-223213_0,5917,5917,98.616667,30.0,2958,206938.382,206993.451,6.9,14.6,1021.041,20336.0,19292.0,7.5893,98053,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,1020
consumer-sts-0,skew,B0-R100-20260223-223213_0,5920,5920,98.666667,30.0,2960,208621.23,208650.056,9.1,14.6,1051.072,20943.0,19532.0,7.461013,101016,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,1050
consumer-sts-0,skew,B0-R100-20260223-223213_0,5918,5918,98.633333,30.0,2956,220306.106,221833.015,8.9,14.6,1081.104,21564.0,19887.0,7.377852,103976,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,1080
consumer-sts-0,skew,B0-R100-20260223-223213_0,5902,5902,98.366667,30.0,2944,223966.566,225643.069,8.6,14.6,1111.128,22222.0,20798.0,7.487355,106923,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,1110
consumer-sts-0,skew,B0-R100-20260223-223213_0,5903,5903,98.383333,30.0,2957,230338.017,230425.957,6.8,14.6,1141.16,22776.0,21290.0,7.478047,109884,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,1140
consumer-sts-0,skew,B0-R100-20260223-223213_0,5915,5915,98.583333,30.0,2956,240864.438,240976.751,8.0,14.6,1171.193,23462.0,22374.0,7.629017,112844,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,1170
consumer-sts-0,skew,B0-R100-20260223-223213_0,5915,5915,98.583333,30.0,2956,248175.73,248280.767,7.2,14.6,1201.224,24086.0,22897.0,7.605082,115805,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,1200
consumer-sts-0,skew,B0-R100-20260223-223213_0,5918,5918,98.633333,30.0,2959,250657.418,254514.372,7.6,14.6,1231.256,24656.0,23454.0,7.609994,118767,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,1230
consumer-sts-0,skew,B0-R100-20260223-223213_0,5917,5917,98.616667,30.0,2956,260059.377,260102.812,7.4,14.6,1261.288,25267.0,24192.0,7.659635,121727,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,1260
consumer-sts-0,skew,B0-R100-20260223-223213_0,5915,5915,98.583333,30.0,2957,264566.257,264607.339,7.7,14.6,1291.319,25789.0,24640.0,7.643569,124688,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,1290
consumer-sts-0,skew,B0-R100-20260223-223213_0,5876,5876,97.933333,30.0,2917,271175.573,271647.003,7.5,14.6,1321.348,26351.0,25199.0,7.65026,127609,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,1320
consumer-sts-0,skew,B0-R100-20260223-223213_0,5879,5879,97.983333,30.0,2959,277175.008,277227.951,8.4,14.6,1351.38,26856.0,25836.0,7.696157,130573,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,1350
consumer-sts-0,skew,B0-R100-20260223-223213_0,5918,5918,98.633333,30.0,2957,285007.221,285412.246,9.8,14.6,1381.408,27328.0,26111.0,7.643735,133533,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,1380
consumer-sts-0,skew,B0-R100-20260223-223213_0,5917,5917,98.616667,30.0,2957,289326.019,290584.188,7.7,14.6,1411.44,27904.0,26637.0,7.636755,136495,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,1410
consumer-sts-0,skew,B0-R100-20260223-223213_0,5919,5919,98.65,30.0,2959,295624.663,295667.156,7.2,14.6,1441.472,28664.0,27454.0,7.662294,139458,consumer_metrics_run-20260223-223213_consumer-sts-0.csv,1.0,1440
