pod,traffic_mode,topics,window_total,window_viol,msg_rate_window,lat_window_seconds,lat_count_window,lat_p95_ms,lat_p99_ms,cpu_percent,mem_percent,uptime_sec,total_lag,max_lag,lag_skew_ratio,consumed_total,file,viol_rate,t_bucket
consumer-sts-0,balanced,B0-R100-20260224-000641_0,451,37,7.516667,30.0,451,1612.632,2740.063,0.0,14.6,30.032,0.0,0.0,0.0,451,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.082039911308204,30
consumer-sts-0,balanced,B0-R100-20260224-000641_0,1555,46,25.916667,30.0,1104,411.069,783.216,8.5,14.6,60.063,22.0,7.0,2.227273,1555,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.029581993569131833,60
consumer-sts-0,balanced,B0-R100-20260224-000641_0,2178,35,36.3,30.0,1074,453.096,1052.284,9.6,14.6,90.094,24.0,13.0,3.791667,2629,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.016069788797061526,90
consumer-sts-0,balanced,B0-R100-20260224-000641_0,2142,28,35.7,30.0,1068,203.084,566.191,12.1,14.6,120.126,11.0,4.0,2.545455,3697,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.013071895424836602,120
consumer-sts-0,balanced,B0-R100-20260224-000641_0,2171,12,36.183333,30.0,1103,344.94,773.37,9.3,14.6,150.153,13.0,4.0,2.153846,4800,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.0055274067250115156,150
consumer-sts-0,balanced,B0-R100-20260224-000641_0,2176,36,36.266667,30.0,1073,379.273,900.644,7.1,14.6,180.184,10.0,4.0,2.8,5873,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.016544117647058824,180
consumer-sts-0,balanced,B0-R100-20260224-000641_0,2085,52,34.75,30.0,1012,480.97,915.682,10.2,14.8,210.215,22.0,8.0,2.545455,6885,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.024940047961630695,210
consumer-sts-0,balanced,B0-R100-20260224-000641_0,2051,26,34.183333,30.0,1039,175.791,383.129,7.2,14.8,240.247,10.0,5.0,3.5,7924,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.012676743052169674,240
consumer-sts-0,balanced,B0-R100-20260224-000641_0,2034,7,33.9,30.0,995,422.654,766.292,7.9,14.6,270.263,10.0,5.0,3.5,8919,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.00344149459193707,270
consumer-sts-0,balanced,B0-R100-20260224-000641_0,1991,49,33.183333,30.0,996,789.899,1184.952,7.9,14.6,300.291,11.0,6.0,3.818182,9915,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.024610748367654443,300
consumer-sts-0,balanced,B0-R100-20260224-000641_0,1987,54,33.116667,30.0,991,345.818,810.071,6.5,14.6,330.323,10.0,5.0,3.5,10906,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.027176648213387014,330
consumer-sts-0,balanced,B0-R100-20260224-000641_0,2043,12,34.05,30.0,1052,192.736,323.87,6.0,14.6,360.351,10.0,4.0,2.8,11958,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.005873715124816446,360
consumer-sts-0,balanced,B0-R100-20260224-000641_0,2090,5,34.833333,30.0,1038,267.855,665.653,7.2,14.6,390.379,10.0,4.0,2.8,12996,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.0023923444976076554,390
consumer-sts-0,balanced,B0-R100-20260224-000641_0,2119,5,35.316667,30.0,1081,318.203,501.58,6.3,14.6,420.41,7.0,3.0,3.0,14077,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.0023596035865974517,420
consumer-sts-0,balanced,B0-R100-20260224-000641_0,2184,13,36.4,30.0,1103,403.335,873.636,7.3,14.6,450.42,12.0,5.0,2.916667,15180,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.005952380952380952,450
consumer-sts-0,balanced,B0-R100-20260224-000641_0,2208,27,36.8,30.0,1105,370.632,844.995,6.1,14.6,480.451,21.0,7.0,2.333333,16285,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.012228260869565218,480
consumer-sts-0,balanced,B0-R100-20260224-000641_0,2178,14,36.3,30.0,1073,379.428,674.224,6.6,14.6,510.482,11.0,5.0,3.181818,17358,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.006427915518824609,510
consumer-sts-0,balanced,B0-R100-20260224-000641_0,2121,16,35.35,30.0,1048,578.243,866.699,6.5,14.6,540.514,14.0,4.0,2.0,18406,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.007543611504007544,540
consumer-sts-0,balanced,B0-R100-20260224-000641_0,2157,35,35.95,30.0,1102,470.154,865.85,7.3,14.6,570.545,30.0,11.0,2.566667,19508,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.016226240148354196,570
consumer-sts-0,balanced,B0-R100-20260224-000641_0,2102,19,35.033333,30.0,1000,138.243,465.579,7.1,14.6,600.558,6.0,2.0,2.333333,20508,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.009039010466222646,600
consumer-sts-0,balanced,B0-R100-20260224-000641_0,2070,19,34.5,30.0,1070,319.115,973.292,8.9,14.6,630.587,11.0,5.0,3.181818,21578,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.009178743961352657,630
consumer-sts-0,balanced,B0-R100-20260224-000641_0,2110,39,35.166667,30.0,1037,320.578,921.531,8.7,14.6,660.619,13.0,3.0,1.615385,22615,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.01848341232227488,660
consumer-sts-0,balanced,B0-R100-20260224-000641_0,2160,30,36.0,30.0,1123,386.191,790.983,8.0,14.6,690.65,14.0,5.0,2.5,23738,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.013888888888888888,690
consumer-sts-0,balanced,B0-R100-20260224-000641_0,2145,13,35.75,30.0,1022,414.19,740.817,8.7,14.6,720.682,10.0,4.0,2.8,24760,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.006060606060606061,720
consumer-sts-0,balanced,B0-R100-20260224-000641_0,2075,15,34.583333,30.0,1053,607.107,807.048,6.6,14.6,750.712,18.0,7.0,2.722222,25813,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.007228915662650603,750
consumer-sts-0,balanced,B0-R100-20260224-000641_0,2081,12,34.683333,30.0,1028,294.457,614.047,6.2,14.6,780.717,12.0,4.0,2.333333,26841,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.005766458433445459,780
consumer-sts-0,balanced,B0-R100-20260224-000641_0,2002,0,33.366667,30.0,970,273.1,612.109,8.7,14.8,810.747,21.0,9.0,3.0,27811,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.0,810
consumer-sts-0,balanced,B0-R100-20260224-000641_0,1970,40,32.833333,30.0,999,714.877,1389.145,7.1,14.8,840.777,25.0,7.0,1.96,28810,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.02030456852791878,840
consumer-sts-0,balanced,B0-R100-20260224-000641_0,2085,58,34.75,30.0,1086,403.653,1146.592,8.2,14.8,870.807,11.0,5.0,3.181818,29896,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.027817745803357313,870
consumer-sts-0,balanced,B0-R100-20260224-000641_0,2030,27,33.833333,30.0,944,293.376,783.211,6.9,14.7,900.838,12.0,5.0,2.916667,30840,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.013300492610837438,900
consumer-sts-0,balanced,B0-R100-20260224-000641_0,2038,11,33.966667,30.0,1094,167.899,504.331,7.5,14.7,930.868,13.0,5.0,2.692308,31934,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.005397448478900883,930
consumer-sts-0,balanced,B0-R100-20260224-000641_0,2151,8,35.85,30.0,1057,307.711,772.722,8.1,14.6,960.899,22.0,7.0,2.227273,32991,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.003719200371920037,960
consumer-sts-0,balanced,B0-R100-20260224-000641_0,2157,8,35.95,30.0,1100,300.728,559.11,9.2,14.6,990.927,16.0,6.0,2.625,34091,consumer_metrics_run-20260224-000641_consumer-sts-0.csv,0.0037088548910523874,990
