t_bucket,pods,throughput,p99_max,p99_med,window_total,window_viol,total_lag,max_lag,viol_rate,skew_ratio
30,8,97.283334,3029.05,2376.41,5837,257,75.0,7.0,0.04402946719205071,3.555556
60,8,246.983334,1334.34,948.0385,14819,456,164.0,12.0,0.030771307105742628,3.266667
90,8,300.016667,1042.738,779.6545,18001,302,136.0,9.0,0.016776845730792734,4.083333
120,8,299.333334,1141.928,833.4794999999999,17960,225,112.0,11.0,0.01252783964365256,4.0
150,8,300.833335,1390.201,925.7239999999999,18050,289,123.0,10.0,0.01601108033240997,3.733333
180,8,301.4,1978.404,1412.5880000000002,18084,480,133.0,17.0,0.026542800265428004,3.777778
210,8,297.883334,1070.235,675.7265,17873,383,135.0,12.0,0.021428971073686565,3.36
240,8,299.666667,1711.227,1042.8000000000002,17980,405,157.0,9.0,0.022525027808676306,2.823529
270,8,301.0,1141.997,845.2835,18060,511,134.0,7.0,0.028294573643410852,3.733333
300,8,300.91666599999996,1190.906,701.0405,18055,273,122.0,10.0,0.015120465245084464,4.266667
330,8,301.233334,1071.977,874.222,18074,250,122.0,10.0,0.013832023901737302,4.117647
360,8,299.350001,1429.4,970.9590000000001,17961,452,115.0,8.0,0.025165636657201715,3.555556
390,8,300.316667,1453.85,727.77,18019,421,159.0,10.0,0.023364226649647594,3.2
420,8,300.133333,1359.78,922.97,18008,301,126.0,11.0,0.01671479342514438,4.0
450,8,300.116667,1019.354,765.9035,18007,258,165.0,10.0,0.014327761426112067,3.5
480,8,300.616666,1296.325,1090.269,18037,290,135.0,11.0,0.016078061761933802,3.789474
510,8,300.28333399999997,951.431,709.1959999999999,18017,272,117.0,7.0,0.01509685297219293,2.823529
540,8,301.049999,1346.988,930.403,18063,267,138.0,11.0,0.014781597741238996,4.190476
570,8,299.616667,1527.565,940.0135,17977,389,119.0,10.0,0.021638760638593758,3.809524
600,8,299.65,1536.287,855.4865,17979,383,134.0,9.0,0.021302630847099394,3.230769
630,8,301.116666,1501.732,968.7284999999999,18067,405,150.0,9.0,0.022416560580063097,3.333333
660,8,298.95,1420.205,898.4175,17937,370,141.0,14.0,0.02062775268997045,4.0
690,8,299.333334,1856.498,779.8885,17960,328,163.0,11.0,0.01826280623608018,3.888889
720,8,299.8,1204.914,813.0985,17988,312,140.0,10.0,0.01734489659773182,3.733333
750,8,300.4,1193.355,977.1945,18024,357,115.0,9.0,0.0198069241011984,3.789474
780,8,301.95,1484.349,1076.673,18117,481,147.0,9.0,0.02654964950046917,4.0
810,8,300.399999,1200.414,854.4505,18024,401,111.0,7.0,0.022248113626276076,3.5
840,8,298.66666599999996,3792.563,889.981,17920,375,119.0,10.0,0.020926339285714284,3.684211
870,8,300.2,4360.928,3500.15,18012,909,158.0,13.0,0.05046635576282479,4.2
900,8,301.516666,1841.99,757.1514999999999,18091,766,139.0,9.0,0.04234149577137803,4.0
930,8,300.266666,1020.001,790.236,18016,225,154.0,9.0,0.012488898756660746,3.764706
960,8,300.53333399999997,1332.422,894.2165,18032,274,161.0,12.0,0.015195208518189885,3.5
990,8,300.8,1292.309,969.271,18048,390,136.0,8.0,0.02160904255319149,3.733333
1020,8,299.883332,1091.536,790.7909999999999,17993,360,121.0,9.0,0.02000778080364586,3.6
1050,8,299.916667,1381.134,889.2235000000001,17995,327,125.0,6.0,0.018171714365101416,3.5
1080,8,301.0,1200.446,711.8934999999999,18060,284,102.0,7.0,0.015725359911406424,4.363636
1110,8,300.966666,1145.299,796.86,18058,207,111.0,7.0,0.011463063462177429,4.0
1140,8,299.900001,1269.324,752.345,17994,233,106.0,8.0,0.012948760698010448,3.2
1170,8,299.466667,1299.993,901.113,17968,265,110.0,9.0,0.014748441674087266,3.0
1200,8,299.333333,1280.512,765.902,17960,274,95.0,9.0,0.015256124721603563,4.0
1230,8,300.96666700000003,1328.075,890.8735,18058,264,143.0,9.0,0.014619559198139329,3.5
1260,8,300.46666700000003,1004.811,879.8765,18028,263,130.0,10.0,0.014588418016418903,3.809524
1290,8,299.700001,1181.064,765.3615,17982,206,139.0,12.0,0.011455900344789233,5.0
1320,8,300.366666,1511.474,824.65,18022,217,139.0,10.0,0.012040838974586616,3.9375
1350,8,299.416666,1133.783,922.2505,17965,251,133.0,10.0,0.013971611466740886,4.444444
1380,8,300.349999,1043.104,848.1185,18021,240,130.0,9.0,0.01331779590477776,4.0
1410,8,300.983334,1731.714,853.6495,18059,331,113.0,8.0,0.018328811119109584,3.5
1440,8,300.65,1653.096,1056.0335,18039,496,147.0,10.0,0.027495980930206776,3.2
1470,8,300.083334,959.06,754.738,18005,340,111.0,7.0,0.018883643432379894,3.733333
1500,8,300.75,1722.995,850.968,18045,226,121.0,9.0,0.012524244943197562,4.266667
1530,8,300.66666599999996,1522.44,768.61,18040,326,141.0,9.0,0.018070953436807095,4.0
1560,8,299.233333,1112.955,736.7745,17954,252,111.0,8.0,0.014035869444135011,5.333333
1590,8,300.35,1511.023,945.6645000000001,18021,282,114.0,9.0,0.015648410188113866,3.333333
1620,8,299.983334,1636.262,1005.4015,17999,401,139.0,12.0,0.022279015500861157,5.333333
1650,8,299.85,1061.044,822.231,17991,371,133.0,8.0,0.02062142182202212,3.636364
1680,8,301.25,1231.764,928.2565,18075,317,138.0,9.0,0.017538035961272475,3.705882
1710,8,300.6,1171.911,887.9169999999999,18036,339,134.0,13.0,0.018795741849634066,4.789474
1740,8,300.416666,1185.925,845.755,18025,383,152.0,9.0,0.021248266296809985,3.5
1770,8,300.1,979.036,709.5360000000001,18006,276,146.0,9.0,0.015328223925358214,4.5
1800,8,299.03333299999997,1291.707,792.4325,17942,226,127.0,9.0,0.012596143127856426,3.9375
1830,8,300.616666,1028.953,741.6714999999999,18037,229,129.0,8.0,0.012696124632699451,3.555556
1860,8,300.0,1013.854,835.9280000000001,18000,194,100.0,9.0,0.010777777777777778,3.789474
1890,8,298.316667,1501.216,993.0325,17899,346,147.0,16.0,0.019330688865299737,5.090909
1920,8,301.700001,1481.251,990.8779999999999,18102,452,148.0,10.0,0.024969616616948402,3.809524
1950,8,301.300001,1370.67,727.8455,18078,336,113.0,8.0,0.018586126783936275,3.0
1980,8,299.933332,1060.004,754.4704999999999,17996,215,104.0,8.0,0.011947099355412313,4.666667
2010,8,300.983334,1117.013,731.1945000000001,18059,163,139.0,9.0,0.009025970430256382,3.9375
2040,8,299.583333,1400.78,732.6445000000001,17975,189,110.0,14.0,0.010514603616133518,4.307692
2070,8,299.316666,1329.448,689.2135000000001,17959,249,109.0,8.0,0.01386491452753494,4.266667
