pod,traffic_mode,topics,window_total,window_viol,msg_rate_window,lat_window_seconds,lat_count_window,lat_p95_ms,lat_p99_ms,cpu_percent,mem_percent,uptime_sec,total_lag,max_lag,lag_skew_ratio,consumed_total,file,t_bucket
consumer-sts-0,skew,B0-R100-20260224-010807_0,72,8,1.2,30.0,72,1509.141,2203.531,0.0,14.6,30.032,0.0,0.0,0.0,72,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,30
consumer-sts-0,skew,B0-R100-20260224-010807_0,304,18,5.066667,30.0,232,648.0,1162.942,6.8,14.6,60.062,10.0,5.0,3.5,304,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,60
consumer-sts-0,skew,B0-R100-20260224-010807_0,474,17,7.9,30.0,241,502.149,1173.753,8.0,14.6,90.092,3.0,2.0,4.666667,545,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,90
consumer-sts-0,skew,B0-R100-20260224-010807_0,444,17,7.4,30.0,197,769.233,1383.063,7.6,14.7,120.122,2.0,1.0,3.5,742,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,120
consumer-sts-0,skew,B0-R100-20260224-010807_0,396,16,6.6,30.0,198,700.772,1092.624,7.0,14.7,150.15,7.0,2.0,2.0,940,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,150
consumer-sts-0,skew,B0-R100-20260224-010807_0,386,14,6.433333,30.0,188,650.91,1717.918,7.4,14.7,180.178,4.0,2.0,3.5,1128,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,180
consumer-sts-0,skew,B0-R100-20260224-010807_0,412,12,6.866667,30.0,224,445.657,1140.975,7.0,14.6,210.208,4.0,1.0,1.75,1352,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,210
consumer-sts-0,skew,B0-R100-20260224-010807_0,445,15,7.416667,30.0,219,604.067,1129.492,6.9,14.6,240.239,4.0,2.0,3.5,1571,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,240
consumer-sts-0,skew,B0-R100-20260224-010807_0,466,20,7.766667,30.0,247,596.688,1658.276,6.8,14.6,270.27,5.0,1.0,1.4,1818,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,270
consumer-sts-0,skew,B0-R100-20260224-010807_0,452,24,7.533333,30.0,205,1014.77,1660.666,7.2,14.6,300.298,7.0,3.0,3.0,2023,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,300
consumer-sts-0,skew,B0-R100-20260224-010807_0,429,29,7.15,30.0,222,1014.534,1286.354,6.7,14.6,330.327,3.0,1.0,2.333333,2245,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,330
consumer-sts-0,skew,B0-R100-20260224-010807_0,435,31,7.25,30.0,213,1156.63,1790.634,7.2,14.6,360.358,11.0,4.0,2.545455,2458,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,360
consumer-sts-0,skew,B0-R100-20260224-010807_0,424,25,7.066667,30.0,208,479.032,1105.808,8.1,14.6,390.389,6.0,3.0,3.5,2666,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,390
consumer-sts-0,skew,B0-R100-20260224-010807_0,419,20,6.983333,30.0,210,922.713,1759.394,7.1,14.6,420.418,4.0,2.0,3.5,2876,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,420
consumer-sts-0,skew,B0-R100-20260224-010807_0,416,29,6.933333,30.0,206,1120.508,1376.92,6.2,14.6,450.448,7.0,2.0,2.0,3082,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,450
consumer-sts-0,skew,B0-R100-20260224-010807_0,405,30,6.75,30.0,197,1060.637,1459.799,6.4,14.6,480.479,5.0,3.0,4.2,3279,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,480
