t_bucket,pods,throughput,p99_max,p99_med,window_total,window_viol,total_lag,max_lag,viol_rate
30,8,97.283333,3163.423,2790.6565,5837,393,101.0,12.0,0.06732910741819428
60,8,248.366668,1178.212,924.9945,14902,555,131.0,8.0,0.03724332304388673
90,8,300.150002,1340.456,1041.9045,18009,433,176.0,13.0,0.024043533788661225
120,8,298.983334,1386.948,871.4894999999999,17939,438,127.0,8.0,0.02441607670438709
150,8,300.3,1443.588,837.5930000000001,18018,343,160.0,10.0,0.019036519036519036
180,8,301.983333,1253.549,878.9375,18119,339,134.0,9.0,0.018709641812462055
210,8,299.933334,1618.232,873.078,17996,323,131.0,14.0,0.0179484329851078
240,8,299.05,1133.131,781.6065000000001,17943,278,121.0,9.0,0.015493507217299226
270,8,301.116667,1255.033,788.171,18067,232,117.0,9.0,0.012841091492776886
300,8,300.699999,1259.84,896.1565,18042,288,123.0,8.0,0.015962753574991686
330,8,300.34999999999997,1381.403,847.2860000000001,18021,343,144.0,14.0,0.019033349980578214
360,8,299.28333299999997,1225.481,697.1225,17957,282,148.0,12.0,0.015704182213064542
390,8,299.533333,1029.045,736.851,17972,209,135.0,9.0,0.011629200979301134
420,8,299.233333,847.378,736.9205,17954,155,111.0,8.0,0.008633173666035424
450,8,299.733333,1348.542,882.9495,17984,212,147.0,11.0,0.011788256227758007
480,8,302.016666,844.995,686.918,18121,174,131.0,11.0,0.009602119088350533
510,8,301.350001,1138.18,636.8320000000001,18081,95,114.0,7.0,0.005254134173994801
540,8,299.816667,1518.047,863.4075,17989,234,121.0,10.0,0.013007949302351437
570,8,300.65,1197.083,810.8775,18039,297,155.0,11.0,0.01646432729086978
600,8,297.03333299999997,1089.38,778.797,17822,267,121.0,11.0,0.014981483559645382
630,8,293.95,1197.429,843.4075,17637,247,132.0,12.0,0.01400464931677723
660,8,298.35,1424.004,846.6579999999999,17901,296,137.0,8.0,0.016535389084408693
690,8,301.0,1115.341,895.189,18060,314,138.0,12.0,0.017386489479512737
720,8,299.866667,1338.125,788.7125000000001,17992,268,126.0,7.0,0.014895509115162294
750,8,300.566666,1459.82,844.0975000000001,18034,281,171.0,12.0,0.015581679050682045
780,8,300.25,1243.974,714.235,18015,252,126.0,11.0,0.013988343047460449
810,8,300.75,1154.223,909.971,18045,266,167.0,13.0,0.014740925464117484
840,8,300.316667,1389.145,815.529,18019,292,136.0,11.0,0.016205116821133247
870,8,299.3,1317.59,910.7365,17958,286,127.0,8.0,0.015926049671455618
900,8,300.133332,1098.723,880.1914999999999,18008,301,121.0,8.0,0.01671479342514438
930,8,300.700001,1194.624,788.032,18042,278,133.0,10.0,0.015408491298082253
960,8,301.249999,1181.358,833.7125,18075,253,129.0,8.0,0.013997233748271092
990,8,299.71666700000003,1069.491,724.569,17983,225,143.0,11.0,0.012511816715787133
1020,8,300.5,1091.378,690.2925,18030,186,128.0,11.0,0.010316139767054908
1050,8,300.183332,998.38,744.8595,18011,168,129.0,12.0,0.009327633113097552
1080,8,300.4,1031.325,792.8444999999999,18024,161,143.0,10.0,0.008932534398579672
1110,8,300.366666,1176.787,702.794,18022,161,116.0,8.0,0.008933525690822328
1140,8,298.933334,1052.776,694.0395000000001,17936,158,137.0,16.0,0.008809099018733274
1170,8,299.083332,967.798,720.117,17945,144,123.0,12.0,0.008024519364725551
1200,8,301.816667,1291.5,958.562,18109,321,126.0,10.0,0.01772599260036446
1230,8,301.21666700000003,1401.821,940.6320000000001,18073,446,124.0,9.0,0.02467769601062358
1260,8,297.266666,1100.802,796.317,17836,336,124.0,8.0,0.018838304552590265
1290,8,299.399998,971.175,756.2135000000001,17964,233,115.0,12.0,0.012970385214874192
1320,8,302.666667,1668.99,867.259,18160,270,131.0,8.0,0.01486784140969163
1350,8,300.96666600000003,1030.479,903.06,18058,320,135.0,11.0,0.01772067781592646
1380,8,278.983334,1336.439,941.906,16739,287,90.0,8.0,0.01714558814744011
