pod,traffic_mode,topics,window_total,window_viol,msg_rate_window,lat_window_seconds,lat_count_window,lat_p95_ms,lat_p99_ms,cpu_percent,mem_percent,uptime_sec,total_lag,max_lag,lag_skew_ratio,consumed_total,file,viol_rate,t_bucket
consumer-sts-0,skew,B0-R100-20260224-003716_0,370,27,6.166667,30.0,370,1436.528,3053.327,0.0,14.6,30.031,0.0,0.0,0.0,370,consumer_metrics_run-20260224-003716_consumer-sts-0.csv,0.07297297297297298,30
consumer-sts-0,skew,B0-R100-20260224-003716_0,1206,43,20.1,30.0,835,559.423,1163.386,7.6,14.6,60.061,24.0,7.0,2.333333,1206,consumer_metrics_run-20260224-003716_consumer-sts-0.csv,0.03565505804311774,60
consumer-sts-0,skew,B0-R100-20260224-003716_0,1663,27,27.716667,30.0,828,455.601,849.276,6.2,14.6,90.092,12.0,3.0,2.0,2034,consumer_metrics_run-20260224-003716_consumer-sts-0.csv,0.016235718580877932,90
consumer-sts-0,skew,B0-R100-20260224-003716_0,1634,29,27.233333,30.0,806,373.132,1043.126,7.2,14.6,120.121,9.0,4.0,3.555556,2840,consumer_metrics_run-20260224-003716_consumer-sts-0.csv,0.017747858017135864,120
consumer-sts-0,skew,B0-R100-20260224-003716_0,1591,31,26.516667,30.0,779,300.569,924.604,6.1,14.6,150.149,15.0,5.0,2.666667,3619,consumer_metrics_run-20260224-003716_consumer-sts-0.csv,0.01948460087994972,150
consumer-sts-0,skew,B0-R100-20260224-003716_0,1646,66,27.433333,30.0,866,846.57,1405.02,9.4,14.7,180.177,29.0,15.0,4.137931,4485,consumer_metrics_run-20260224-003716_consumer-sts-0.csv,0.040097205346294046,180
consumer-sts-0,skew,B0-R100-20260224-003716_0,1697,75,28.283333,30.0,831,591.747,972.045,10.2,14.7,210.206,15.0,5.0,2.666667,5316,consumer_metrics_run-20260224-003716_consumer-sts-0.csv,0.04419563936358279,210
consumer-sts-0,skew,B0-R100-20260224-003716_0,1626,49,27.1,30.0,795,613.34,1529.457,8.9,14.6,240.237,14.0,4.0,2.285714,6111,consumer_metrics_run-20260224-003716_consumer-sts-0.csv,0.03013530135301353,240
consumer-sts-0,skew,B0-R100-20260224-003716_0,1608,53,26.8,30.0,812,375.648,1041.038,8.8,14.7,270.265,12.0,4.0,2.666667,6923,consumer_metrics_run-20260224-003716_consumer-sts-0.csv,0.03296019900497513,270
consumer-sts-0,skew,B0-R100-20260224-003716_0,1695,30,28.25,30.0,882,341.583,683.406,10.1,14.6,300.285,10.0,4.0,3.2,7805,consumer_metrics_run-20260224-003716_consumer-sts-0.csv,0.017699115044247787,300
consumer-sts-0,skew,B0-R100-20260224-003716_0,1741,52,29.016667,30.0,855,933.771,1280.455,9.5,14.6,330.313,26.0,7.0,2.153846,8660,consumer_metrics_run-20260224-003716_consumer-sts-0.csv,0.02986789201608271,330
consumer-sts-0,skew,B0-R100-20260224-003716_0,1691,48,28.183333,30.0,830,200.221,360.312,9.1,14.6,360.341,6.0,2.0,2.666667,9490,consumer_metrics_run-20260224-003716_consumer-sts-0.csv,0.028385570668243643,360
consumer-sts-0,skew,B0-R100-20260224-003716_0,1730,14,28.833333,30.0,900,503.214,886.778,8.7,14.6,390.369,10.0,5.0,4.0,10390,consumer_metrics_run-20260224-003716_consumer-sts-0.csv,0.008092485549132947,390
consumer-sts-0,skew,B0-R100-20260224-003716_0,1704,32,28.4,30.0,804,412.588,1069.165,8.8,14.6,420.397,20.0,6.0,2.4,11194,consumer_metrics_run-20260224-003716_consumer-sts-0.csv,0.018779342723004695,420
