t_bucket,pods,throughput,p99_max,p99_med,window_total,window_viol,total_lag,max_lag,viol_rate,skew_ratio
30,8,83.116667,10335.687,870.768,4987,2078,654.0,532.0,0.416683376779627,7.152941
60,8,195.16666600000002,23489.828,1161.675,11710,5068,2991.0,2587.0,0.4327924850555081,7.073137
90,8,225.766666,36634.679,1024.566,13546,5981,5227.0,4624.0,0.44153255573601063,7.189893
120,8,228.533332,49575.348,1186.5075,13712,6087,7334.0,6532.0,0.4439177362893816,7.210708
150,8,227.749999,62891.337,1291.04,13665,6202,9531.0,8694.0,0.4538602268569338,7.370139
180,8,228.216666,77727.215,1115.6625,13693,6257,11731.0,10885.0,0.45694880595924925,7.477888
210,8,227.64999999999998,90899.381,1296.8274999999999,13659,6259,13890.0,13011.0,0.45823266710593746,7.533329
240,8,226.533334,105701.984,1188.6095,13592,6174,16055.0,15119.0,0.45423778693349026,7.568014
270,8,229.0,119603.071,1132.7045,13740,6166,18209.0,17354.0,0.4487627365356623,7.658007
300,8,230.05,134336.289,1198.533,13803,6217,20361.0,19441.0,0.45040933130478883,7.673574
330,8,228.6,148073.253,1238.3315,13716,6228,22540.0,21605.0,0.4540682414698163,7.696487
360,8,228.283333,161890.68,1149.0755,13697,6180,24742.0,23905.0,0.4511936920493539,7.7579
390,8,226.999999,176819.525,1140.0120000000002,13620,6183,26936.0,26047.0,0.4539647577092511,7.765083
420,8,226.183333,189164.572,1082.75,13571,6202,29146.0,28189.0,0.4570039053864859,7.759686
450,8,229.83333299999998,205234.412,1000.8915,13790,6200,31240.0,30424.0,0.44960116026105873,7.817061
480,8,230.066667,218301.222,1089.4065,13804,6186,33337.0,32504.0,0.44813097652854245,7.81816
510,8,228.283333,232391.807,1037.81,13697,6100,35458.0,34560.0,0.44535299700664377,7.813039
540,8,228.95000100000001,246840.505,3665.0025,13737,6349,37651.0,36581.0,0.46218242702191165,7.789614
570,8,228.816666,260933.018,1291.1109999999999,13729,6465,39804.0,38974.0,0.4709010124553864,7.851132
600,8,228.26666699999998,274769.172,1126.117,13696,6192,41999.0,41083.0,0.45210280373831774,7.841951
630,8,229.366667,290054.822,1227.585,13762,6169,44103.0,43204.0,0.44826333381775907,7.853845
660,8,229.999999,302897.228,1033.2885,13800,6184,46221.0,45381.0,0.4481159420289855,7.865332
690,8,227.149999,316926.92,6450.504999999999,13629,6601,48241.0,47494.0,0.4843348741653826,8.0
720,8,230.58333199999998,331764.681,1592.908,13835,6890,50402.0,49525.0,0.4980122876761836,7.875957
750,8,234.450001,345906.093,1181.3580000000002,14067,6470,52517.0,51693.0,0.4599417075424753,7.888599
780,8,229.95000000000002,358331.644,1154.6154999999999,13797,6170,54657.0,53702.0,0.44719866637674854,7.872606
810,8,229.84999899999997,374039.37,1188.0900000000001,13791,6164,56726.0,55897.0,0.4469581611195707,7.893942
840,8,230.683333,387567.212,1106.42,13841,6192,58843.0,58031.0,0.4473665197601329,7.898598
870,8,231.066665,401513.983,1036.1280000000002,13864,6177,60917.0,60098.0,0.44554241200230815,7.903732
900,8,229.183334,413709.205,1141.9360000000001,13751,6175,63153.0,62163.0,0.44905825030906843,7.885328
930,8,227.7,429746.964,1130.852,13662,6130,65260.0,64356.0,0.4486897965158835,7.899713
960,8,229.683332,442356.473,1188.6695,13781,6144,67357.0,66411.0,0.44583121689282346,7.897258
990,8,230.366667,457337.967,1233.6535,13822,6197,69426.0,68630.0,0.4483432209521053,7.917628
1020,8,229.799999,471884.307,1162.0495,13788,6185,71610.0,70650.0,0.4485784740353931,7.904785
1050,8,230.45,484488.191,1205.1305,13827,6164,73668.0,72698.0,0.4457944601142692,7.902708
1080,8,231.5,498845.307,1332.2975000000001,13890,6204,75775.0,74873.0,0.44665226781857453,7.913543
1110,8,228.96666599999998,513736.921,1133.3139999999999,13738,6238,77971.0,77091.0,0.4540690056776823,7.919156
1140,8,229.716667,526842.171,1465.0645,13783,6274,80076.0,79203.0,0.4551984328520641,7.921983
1170,8,230.116666,542171.366,1312.8525,13807,6286,82183.0,81351.0,0.45527630911856304,7.926919
1200,8,228.85000100000002,556357.445,887.6015,13731,6146,84281.0,83291.0,0.4476003204427937,7.913352
1230,8,229.316668,570536.075,1071.5884999999998,13759,6112,86367.0,85470.0,0.44421832982048115,7.924436
1260,8,227.416668,584422.278,1079.7965,13645,6173,88655.0,87730.0,0.4524001465738366,7.923144
1290,8,226.96666599999998,598443.653,1032.6264999999999,13618,6160,90831.0,90017.0,0.45234248788368336,7.934946
1320,8,228.783333,612229.594,933.017,13727,6150,93018.0,92231.0,0.4480221461353537,7.93863
1350,8,227.550002,625230.913,1240.4665,13653,6211,95112.0,94244.0,0.4549183329671135,7.933748
1380,8,227.90000099999997,638253.087,1117.2199999999998,13674,6209,97331.0,96552.0,0.45407342401638146,7.940866
1410,8,230.433333,652660.997,1378.9735,13826,6174,99477.0,98598.0,0.4465499783017503,7.935692
1440,8,228.099999,667023.791,1375.618,13686,6136,101678.0,100692.0,0.4483413707438258,7.930221
1470,8,229.433333,680731.296,1142.4070000000002,13766,6122,103762.0,102904.0,0.4447188725846288,7.9402
1500,8,231.316667,693647.471,1164.1335,13879,6195,105858.0,104989.0,0.44635780675841197,7.941754
1530,8,230.266666,707910.085,1120.982,13816,6195,107927.0,107082.0,0.4483931673422119,7.943548
1560,8,230.01666699999998,719407.032,1526.8085,13801,6218,110142.0,109104.0,0.4505470618071154,7.930655
1590,8,228.2,735688.431,1178.0014999999999,13692,6231,112213.0,111297.0,0.45508326029798424,7.939932
1620,8,227.400001,749573.713,1092.1535,13644,6181,114456.0,113513.0,0.4530196423336265,7.939777
1650,8,227.383334,764774.669,1023.261,13643,6126,116649.0,115785.0,0.44902147621490873,7.94565
1680,8,227.64999999999998,777549.897,1048.754,13659,6105,118815.0,117857.0,0.4469580496376016,7.939907
1710,8,228.366668,791791.031,1290.3139999999999,13702,6164,120985.0,120110.0,0.4498613341118085,7.947725
1740,8,229.98333399999999,806040.173,1079.915,13799,6181,123136.0,122307.0,0.44793100949344156,7.951953
1770,8,230.183334,819914.814,1113.301,13811,6149,125167.0,124347.0,0.44522482079501846,7.953372
1800,8,231.383333,833523.518,1030.5825,13883,6170,127249.0,126265.0,0.4444284376575668,7.942132
1830,8,230.45,847430.706,1087.6705000000002,13827,6166,129396.0,128460.0,0.4459391046503218,7.947352
1860,8,228.466666,860636.357,1220.7785,13708,6234,131569.0,130716.0,0.45477093667931134,7.953332
1890,8,231.366667,874550.162,1077.1285,13882,6260,133587.0,132780.0,0.4509436680593574,7.956496
1920,8,233.216667,887865.048,1224.202,13993,6190,135619.0,134788.0,0.4423640391624384,7.954793
1950,8,230.416668,902323.417,1086.4409999999998,13825,6175,137796.0,137046.0,0.44665461121157324,7.96027
1980,8,229.333334,916124.668,1235.529,13760,6187,139965.0,139152.0,0.4496366279069767,7.95899
2010,8,228.883332,930265.475,1233.4035,13733,6173,142100.0,141206.0,0.44950120148547296,7.954035
2040,8,228.083334,944152.388,1240.13,13685,6182,144259.0,143310.0,0.4517354767994154,7.951727
2070,8,228.233334,957073.073,1299.1464999999998,13694,6205,146476.0,145454.0,0.4531181539360304,7.94836
2100,8,228.716667,971960.387,925.7165,13723,6130,148615.0,147778.0,0.4466953290096918,7.958961
2130,8,228.133333,985345.169,973.938,13688,6087,150819.0,149820.0,0.4446960841613092,7.951385
2160,8,227.866666,999164.661,1335.0790000000002,13672,6157,152990.0,152002.0,0.4503364540667057,7.952547
2190,8,229.749998,1014681.46,1046.343,13785,6181,155045.0,154255.0,0.44838592673195504,7.963347
2220,8,228.583333,1028343.853,993.107,13715,6116,157231.0,156402.0,0.44593510754648197,7.960858
2250,8,227.316666,1041976.685,1227.902,13639,6152,159487.0,158661.0,0.4510594618373781,7.962311
2280,8,230.033334,1055983.412,1125.3029999999999,13802,6201,161572.0,160681.0,0.44928271265034053,7.959578
2310,8,230.483333,1069938.096,1033.533,13829,6149,163702.0,162801.0,0.4446453105792176,7.959226
2340,8,229.616667,1084714.429,1226.6905000000002,13777,6131,165791.0,165015.0,0.44501705741453146,7.96688
2370,8,229.816667,1098815.66,1038.1015,13789,6119,167953.0,167080.0,0.4437595184567409,7.961735
2400,8,228.316666,1112352.769,1159.0165000000002,13699,6186,170123.0,169217.0,0.4515658077231915,7.961467
2430,8,228.783334,1128045.045,1103.4135,13727,6223,172273.0,171356.0,0.4533401325854156,7.961714
2460,8,230.533334,1141514.429,966.162,13832,6187,174412.0,173411.0,0.4472961249277039,7.958603
2490,8,229.683332,1155751.752,1194.6109999999999,13781,6186,176546.0,175738.0,0.4488788912270517,7.96659
2520,8,228.683333,1169393.322,991.0105000000001,13721,6178,178725.0,177855.0,0.4502587274979958,7.964623
2550,8,230.033333,1183698.876,926.479,13802,6115,180794.0,179938.0,0.44305173163309663,7.965559
2580,8,229.650001,1197374.859,1382.526,13779,6138,182962.0,182001.0,0.44546048334421945,7.960678
2610,8,229.516667,1211700.45,1087.9485,13771,6210,185151.0,184231.0,0.4509476435988672,7.96412
2640,8,228.26666699999998,1226638.571,1146.775,13696,6194,187295.0,186362.0,0.4522488317757009,7.963848
2670,8,227.95,1241066.628,1113.3065,13677,6172,189445.0,188665.0,0.4512685530452585,7.970343
2700,8,229.45,1254210.209,1152.123,13767,6190,191625.0,190694.0,0.44962591704801336,7.964832
2730,8,229.4,1267914.441,1338.621,13764,6247,193775.0,192873.0,0.4538651554780587,7.966338
2760,8,230.116666,1282176.513,1243.1925,13807,6274,195930.0,195076.0,0.45440718476135294,7.968221
2790,8,228.849999,1295613.711,1007.9224999999999,13731,6099,198136.0,197171.0,0.4441774087830457,7.964655
2820,8,228.983334,1309979.262,964.982,13739,6069,200199.0,199361.0,0.4417352063468957,7.970136
2850,8,231.366668,1324807.988,1215.0065,13882,6202,202303.0,201523.0,0.4467655957354848,7.97215
