pod,traffic_mode,topics,window_total,window_viol,msg_rate_window,lat_window_seconds,lat_count_window,lat_p95_ms,lat_p99_ms,cpu_percent,mem_percent,uptime_sec,total_lag,max_lag,lag_skew_ratio,consumed_total,file,viol_rate,t_bucket
consumer-sts-0,skew,B0-R100-20260224-121839_0,465,29,7.75,30.0,465,1091.789,2647.573,0.0,15.3,30.031,0.0,0.0,0.0,465,consumer_metrics_run-20260224-121839_consumer-sts-0.csv,0.06236559139784946,30
consumer-sts-0,skew,B0-R100-20260224-121839_0,1584,83,26.4,30.0,1119,782.303,1334.34,26.2,15.3,60.061,25.0,7.0,2.24,1584,consumer_metrics_run-20260224-121839_consumer-sts-0.csv,0.052398989898989896,60
consumer-sts-0,skew,B0-R100-20260224-121839_0,2281,80,38.016667,30.0,1161,479.97,1013.018,25.8,15.3,90.089,26.0,7.0,2.153846,2745,consumer_metrics_run-20260224-121839_consumer-sts-0.csv,0.035072336694432264,90
consumer-sts-0,skew,B0-R100-20260224-121839_0,2226,29,37.1,30.0,1065,480.327,683.835,26.1,15.3,120.117,14.0,5.0,2.857143,3810,consumer_metrics_run-20260224-121839_consumer-sts-0.csv,0.01302785265049416,120
consumer-sts-0,skew,B0-R100-20260224-121839_0,2206,26,36.766667,30.0,1141,574.498,861.387,25.4,15.3,150.145,28.0,10.0,2.857143,4951,consumer_metrics_run-20260224-121839_consumer-sts-0.csv,0.011786038077969175,150
consumer-sts-0,skew,B0-R100-20260224-121839_0,2263,72,37.716667,30.0,1122,684.715,1374.439,26.4,15.3,180.174,20.0,7.0,2.8,6073,consumer_metrics_run-20260224-121839_consumer-sts-0.csv,0.031816173221387536,180
consumer-sts-0,skew,B0-R100-20260224-121839_0,2247,51,37.45,30.0,1125,452.115,721.175,25.5,15.3,210.205,22.0,8.0,2.909091,7198,consumer_metrics_run-20260224-121839_consumer-sts-0.csv,0.022696929238985315,210
consumer-sts-0,skew,B0-R100-20260224-121839_0,2291,47,38.183333,30.0,1166,626.632,1033.249,26.5,15.3,240.233,17.0,6.0,2.823529,8364,consumer_metrics_run-20260224-121839_consumer-sts-0.csv,0.020515058926233086,240
consumer-sts-0,skew,B0-R100-20260224-121839_0,2271,64,37.85,30.0,1105,460.966,838.726,25.7,15.4,270.249,17.0,6.0,2.823529,9469,consumer_metrics_run-20260224-121839_consumer-sts-0.csv,0.028181417877586965,270
consumer-sts-0,skew,B0-R100-20260224-121839_0,2273,42,37.883333,30.0,1168,509.203,900.664,26.0,15.4,300.281,15.0,8.0,4.266667,10637,consumer_metrics_run-20260224-121839_consumer-sts-0.csv,0.01847778266608007,300
consumer-sts-0,skew,B0-R100-20260224-121839_0,2363,41,39.383333,30.0,1195,370.902,905.974,25.4,15.4,330.309,16.0,6.0,3.0,11832,consumer_metrics_run-20260224-121839_consumer-sts-0.csv,0.017350825222175202,330
consumer-sts-0,skew,B0-R100-20260224-121839_0,2325,84,38.75,30.0,1129,898.312,1429.4,27.0,15.4,360.337,11.0,4.0,2.909091,12961,consumer_metrics_run-20260224-121839_consumer-sts-0.csv,0.03612903225806452,360
consumer-sts-0,skew,B0-R100-20260224-121839_0,2292,101,38.2,30.0,1150,674.02,931.409,26.2,15.4,390.367,21.0,5.0,1.904762,14111,consumer_metrics_run-20260224-121839_consumer-sts-0.csv,0.04406631762652705,390
consumer-sts-0,skew,B0-R100-20260224-121839_0,2271,70,37.85,30.0,1121,494.821,1263.939,26.5,15.4,420.397,14.0,7.0,4.0,15232,consumer_metrics_run-20260224-121839_consumer-sts-0.csv,0.030823425803610745,420
consumer-sts-0,skew,B0-R100-20260224-121839_0,2347,48,39.116667,30.0,1226,497.185,808.026,25.4,15.4,450.425,26.0,10.0,3.076923,16458,consumer_metrics_run-20260224-121839_consumer-sts-0.csv,0.020451640391989774,450
consumer-sts-0,skew,B0-R100-20260224-121839_0,2342,48,39.033333,30.0,1116,556.085,1157.441,26.0,15.4,480.453,13.0,4.0,2.461538,17574,consumer_metrics_run-20260224-121839_consumer-sts-0.csv,0.02049530315969257,480
consumer-sts-0,skew,B0-R100-20260224-121839_0,2292,42,38.2,30.0,1176,375.695,742.939,25.0,15.4,510.481,20.0,6.0,2.4,18750,consumer_metrics_run-20260224-121839_consumer-sts-0.csv,0.01832460732984293,510
consumer-sts-0,skew,B0-R100-20260224-121839_0,2324,69,38.733333,30.0,1145,847.131,1346.988,25.7,15.3,540.511,30.0,8.0,2.133333,19895,consumer_metrics_run-20260224-121839_consumer-sts-0.csv,0.029690189328743545,540
consumer-sts-0,skew,B0-R100-20260224-121839_0,2328,85,38.8,30.0,1183,440.886,842.861,25.0,15.4,570.541,21.0,8.0,3.047619,21078,consumer_metrics_run-20260224-121839_consumer-sts-0.csv,0.03651202749140894,570
