t_bucket,throughput,p99_pods_max_ms,p99_pods_med_ms,viol_rate,lag_skew_ratio,true_p99_ms,true_max_ms,true_viol_rate,hot_part_p99_ms,run_id,label,traffic_mode,skew_fraction,skew_partitions,hot_partition,hot_consumer
0,78.733333,2987.158,2261.386,0.27222692633361556,1.5722610000000001,6078.151533603669,6744.1887855529785,0.43548387096774194,6558.571846485136,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
30,,,,,,12467.697575092316,12549.473524093628,0.4166666666666667,12305.925693511961,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
60,,,,,,18782.986001968384,18834.04231071472,0.3939393939393939,18819.454793930054,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
90,,,,,,24723.52788925171,25092.01121330261,0.2891566265060241,25020.112028121945,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
120,,,,,,31520.1443195343,31598.800659179688,0.4027777777777778,31574.428272247314,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
150,,,,,,36516.06967687607,36995.29147148132,0.36363636363636365,36846.567466259,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
180,,,,,,42257.055110931404,43825.21390914917,0.38202247191011235,41058.35398674011,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
210,,,,,,47640.13613700866,49239.7837638855,0.44155844155844154,45490.45184850693,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
240,,,,,,59452.496719360366,63113.76190185547,0.35802469135802467,50794.17591094971,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
270,,,,,,58463.67266893387,59047.77479171753,0.38095238095238093,58095.82812547684,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
300,,,,,,62749.00605678558,62788.05446624756,0.3473684210526316,62776.83843374252,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
330,,,,,,73146.10469579697,73178.17807197571,0.32954545454545453,73171.91086053848,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
360,,,,,,76196.64947986603,76211.23218536377,0.47674418604651164,76206.60003185272,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
390,,,,,,81826.44035577774,81866.78504943848,0.3333333333333333,81857.06343650818,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
420,,,,,,90686.2676334381,91870.31435966492,0.3116883116883117,91652.20048904419,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
450,,,,,,96637.38984107971,96659.28173065186,0.3058823529411765,96654.85122919083,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
480,,,,,,102257.40461349487,103850.27384757996,0.3380281690140845,103531.70000076294,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
510,,,,,,109337.90654182434,109342.2040939331,0.3132530120481928,109341.208319664,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
540,,,,,,113918.69957923888,113980.68499565125,0.32,113964.76982116699,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
570,,,,,,122840.27045249939,122858.27851295473,0.33707865168539325,122854.18577194215,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
600,,,,,,128429.36891317366,128499.13907051086,0.35714285714285715,128479.80517148972,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
630,,,,,,135365.13485908508,135373.08597564697,0.2976190476190476,135371.2658405304,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
660,,,,,,140449.3888115883,140472.4476337433,0.40217391304347827,140466.1127924919,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
690,,,,,,146254.1837310791,146407.5689315796,0.49333333333333335,146349.53128814697,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
