partition,admitted_messages,completed_by_drain,incomplete
0,45078,45078,0
1,44763,44763,0
2,44963,44963,0
3,44812,44812,0
4,45376,45376,0
5,45187,45187,0
6,44890,44890,0
7,45049,45049,0
8,44856,44856,0
9,45014,45014,0
10,44719,44719,0
11,45466,45466,0
12,44609,44609,0
13,45224,45224,0
14,45211,45211,0
15,44746,44746,0
16,44886,44886,0
17,44999,44999,0
18,45385,45385,0
19,44877,44877,0
20,44823,44823,0
21,45074,45074,0
22,44982,44982,0
23,45319,45319,0
24,45034,45034,0
25,45228,45228,0
26,44666,44666,0
27,44946,44946,0
28,45089,45089,0
29,44823,44823,0
30,45027,45027,0
31,44952,44952,0
32,44810,44810,0
33,45027,45027,0
34,44944,44944,0
35,45010,45010,0
36,44794,44794,0
37,45003,45003,0
38,45236,45236,0
39,44685,44685,0
40,45052,45052,0
41,45190,45190,0
42,45273,45273,0
43,45068,45068,0
44,44931,44931,0
45,44862,44862,0
46,44996,44996,0
47,45034,45034,0
48,44714,44714,0
49,44976,44976,0
50,45165,45165,0
51,45130,45130,0
52,44868,44868,0
53,44904,44904,0
54,45165,45165,0
55,44918,44918,0
56,44974,44974,0
57,44941,44941,0
58,44983,44983,0
59,45082,45082,0
