"Time","stddev_over_time(avg(consumer_lag_skew_ratio)[20m:])"
2026-06-22 00:28:30,0
2026-06-22 00:28:45,0.0462
2026-06-22 00:29:00,0.0439
2026-06-22 00:29:15,0.0636
2026-06-22 00:29:30,0.0584
2026-06-22 00:29:45,0.0533
2026-06-22 00:30:00,0.0498
2026-06-22 00:30:15,0.0472
2026-06-22 00:30:30,0.0525
2026-06-22 00:30:45,0.0537
2026-06-22 00:31:00,0.0513
2026-06-22 00:31:15,0.0526
2026-06-22 00:31:30,0.0506
2026-06-22 00:31:45,0.0580
2026-06-22 00:32:00,0.0613
2026-06-22 00:32:15,0.0597
2026-06-22 00:32:30,0.0584
2026-06-22 00:32:45,0.0571
2026-06-22 00:33:00,0.0561
2026-06-22 00:33:15,0.0558
2026-06-22 00:33:30,0.0567
2026-06-22 00:33:45,0.0557
2026-06-22 00:34:00,0.0566
2026-06-22 00:34:15,0.0556
2026-06-22 00:34:30,0.0567
2026-06-22 00:34:45,0.0566
2026-06-22 00:35:00,0.0565
2026-06-22 00:35:15,0.0556
2026-06-22 00:35:30,0.0554
2026-06-22 00:35:45,0.0545
2026-06-22 00:36:00,0.0598
2026-06-22 00:36:15,0.0590
2026-06-22 00:36:30,0.0589
2026-06-22 00:36:45,0.0652
2026-06-22 00:37:00,0.0660
2026-06-22 00:37:15,0.0651
2026-06-22 00:37:30,0.0665
2026-06-22 00:37:45,0.0656
2026-06-22 00:38:00,0.0651
2026-06-22 00:38:15,0.0656
2026-06-22 00:38:30,0.0651
2026-06-22 00:38:45,0.0643
2026-06-22 00:39:00,0.0636
2026-06-22 00:39:15,0.0632
