"Time","1000 *
sum(rate(consumer_e2e_latency_seconds_sum[30s]))
/
sum(rate(consumer_e2e_latency_seconds_count[30s]))"
2026-06-22 00:31:30,39.4
2026-06-22 00:31:45,41.6
2026-06-22 00:32:00,38.0
2026-06-22 00:32:15,40.6
2026-06-22 00:32:30,37.7
2026-06-22 00:32:45,39.3
2026-06-22 00:33:00,38.9
2026-06-22 00:33:15,53.6
2026-06-22 00:33:30,48.0
2026-06-22 00:33:45,46.4
2026-06-22 00:34:00,43.5
2026-06-22 00:34:15,75.1
2026-06-22 00:34:30,43.5
2026-06-22 00:34:45,47.4
2026-06-22 00:35:00,50.6
2026-06-22 00:35:15,49.2
2026-06-22 00:35:30,42.8
2026-06-22 00:35:45,47.3
2026-06-22 00:36:00,54.1
2026-06-22 00:36:15,64.9
2026-06-22 00:36:30,50.5
2026-06-22 00:36:45,51.3
2026-06-22 00:37:00,46.5
2026-06-22 00:37:15,48.2
2026-06-22 00:37:30,54.0
2026-06-22 00:37:45,52.0
2026-06-22 00:38:00,47.4
2026-06-22 00:38:15,53.2
2026-06-22 00:38:30,48.8
2026-06-22 00:38:45,54.6
2026-06-22 00:39:00,52.3
2026-06-22 00:39:15,53.2
2026-06-22 00:39:30,44.0
2026-06-22 00:39:45,47.0
2026-06-22 00:40:00,47.6
2026-06-22 00:40:15,51.1
2026-06-22 00:40:30,50.1
2026-06-22 00:40:45,54.2
2026-06-22 00:41:00,54.0
2026-06-22 00:41:15,50.4
2026-06-22 00:41:30,45.9
2026-06-22 00:41:45,49.6
2026-06-22 00:42:00,55.2
2026-06-22 00:42:15,53.3
2026-06-22 00:42:30,49.3
2026-06-22 00:42:45,50.9
2026-06-22 00:43:00,53.7
2026-06-22 00:43:15,52.3
2026-06-22 00:43:30,54.6
2026-06-22 00:43:45,67.4
2026-06-22 00:44:00,66.3
2026-06-22 00:44:15,58.3
2026-06-22 00:44:30,48.4
2026-06-22 00:44:45,53.7
2026-06-22 00:45:00,57.7
2026-06-22 00:45:15,89.6
2026-06-22 00:45:30,88.5
2026-06-22 00:45:45,49.2
2026-06-22 00:46:00,57.9
2026-06-22 00:46:15,61.1
2026-06-22 00:46:30,52.0
2026-06-22 00:46:45,49.3
2026-06-22 00:47:00,61.5
2026-06-22 00:47:15,75.1
2026-06-22 00:47:30,54.3
2026-06-22 00:47:45,62.7
2026-06-22 00:48:00,64.0
2026-06-22 00:48:15,63.6
2026-06-22 00:48:30,75.2
2026-06-22 00:48:45,65.2
2026-06-22 00:49:00,53.6
2026-06-22 00:49:15,53.7
2026-06-22 00:49:30,51.3
2026-06-22 00:49:45,58.8
2026-06-22 00:50:00,52.2
2026-06-22 00:50:15,59.6
2026-06-22 00:50:30,68.5
2026-06-22 00:50:45,70.6
2026-06-22 00:51:00,53.2
2026-06-22 00:51:15,59.0
2026-06-22 00:51:30,61.9
2026-06-22 00:51:45,60.6
2026-06-22 00:52:00,47.6
2026-06-22 00:52:15,47.2
2026-06-22 00:52:30,47.7
2026-06-22 00:52:45,48.7
2026-06-22 00:53:00,51.7
2026-06-22 00:53:15,54.5
2026-06-22 00:53:30,55.5
2026-06-22 00:53:45,56.3
2026-06-22 00:54:00,52.0
2026-06-22 00:54:15,55.0
2026-06-22 00:54:30,56.4
2026-06-22 00:54:45,57.9
2026-06-22 00:55:00,49.3
2026-06-22 00:55:15,49.1
2026-06-22 00:55:30,58.2
2026-06-22 00:55:45,79.7
2026-06-22 00:56:00,86.8
2026-06-22 00:56:15,49.0
2026-06-22 00:56:30,54.1
2026-06-22 00:56:45,56.8
2026-06-22 00:57:00,52.1
2026-06-22 00:57:15,67.9
2026-06-22 00:57:30,63.4
2026-06-22 00:57:45,57.1
2026-06-22 00:58:00,68.1
2026-06-22 00:58:15,70.8
2026-06-22 00:58:30,55.0
2026-06-22 00:58:45,51.0
2026-06-22 00:59:00,50.3
2026-06-22 00:59:15,57.3
2026-06-22 00:59:30,65.0
2026-06-22 00:59:45,56.3
2026-06-22 01:00:00,67.6
2026-06-22 01:00:15,67.5
2026-06-22 01:00:30,60.8
2026-06-22 01:00:45,55.0
2026-06-22 01:01:00,58.2
2026-06-22 01:01:15,51.6
2026-06-22 01:01:30,64.9
