"Time","avg_over_time(
  (sum(consumer_total_lag))[20m:]
)
"
2026-06-22 00:30:30,60.2
2026-06-22 00:30:45,61.6
2026-06-22 00:31:00,60.1
2026-06-22 00:31:15,60.4
2026-06-22 00:31:30,61.1
2026-06-22 00:31:45,60
2026-06-22 00:32:00,59.7
2026-06-22 00:32:15,60.5
2026-06-22 00:32:30,59.5
2026-06-22 00:32:45,59.7
2026-06-22 00:33:00,60
2026-06-22 00:33:15,60.1
2026-06-22 00:33:30,59.9
2026-06-22 00:33:45,60.5
2026-06-22 00:34:00,60.0
2026-06-22 00:34:15,60.1
2026-06-22 00:34:30,60.1
2026-06-22 00:34:45,60.4
2026-06-22 00:35:00,60.0
2026-06-22 00:35:15,60.8
2026-06-22 00:35:30,60.8
2026-06-22 00:35:45,60.6
2026-06-22 00:36:00,61.0
2026-06-22 00:36:15,60.8
2026-06-22 00:36:30,61.4
2026-06-22 00:36:45,61.4
2026-06-22 00:37:00,61.1
2026-06-22 00:37:15,61.1
2026-06-22 00:37:30,61.4
2026-06-22 00:37:45,61.5
2026-06-22 00:38:00,61.7
2026-06-22 00:38:15,61.9
2026-06-22 00:38:30,61.8
2026-06-22 00:38:45,61.3
2026-06-22 00:39:00,61.3
2026-06-22 00:39:15,61.3
2026-06-22 00:39:30,61.5
2026-06-22 00:39:45,61.4
2026-06-22 00:40:00,61.4
2026-06-22 00:40:15,61.3
2026-06-22 00:40:30,61.4
2026-06-22 00:40:45,61.5
2026-06-22 00:41:00,61.9
2026-06-22 00:41:15,61.8
2026-06-22 00:41:30,61.5
2026-06-22 00:41:45,61.5
2026-06-22 00:42:00,61.7
2026-06-22 00:42:15,61.6
2026-06-22 00:42:30,61.8
2026-06-22 00:42:45,61.7
2026-06-22 00:43:00,63.0
2026-06-22 00:43:15,63.0
2026-06-22 00:43:30,62.6
2026-06-22 00:43:45,62.7
2026-06-22 00:44:00,62.6
2026-06-22 00:44:15,62.4
2026-06-22 00:44:30,62.3
2026-06-22 00:44:45,62.1
2026-06-22 00:45:00,62.3
2026-06-22 00:45:15,62.6
2026-06-22 00:45:30,62.7
2026-06-22 00:45:45,62.7
2026-06-22 00:46:00,62.7
2026-06-22 00:46:15,62.8
2026-06-22 00:46:30,63.7
2026-06-22 00:46:45,63.5
2026-06-22 00:47:00,63.1
2026-06-22 00:47:15,63.1
2026-06-22 00:47:30,63.1
2026-06-22 00:47:45,63.0
2026-06-22 00:48:00,62.8
2026-06-22 00:48:15,62.6
2026-06-22 00:48:30,62.5
2026-06-22 00:48:45,63.0
2026-06-22 00:49:00,64.5
2026-06-22 00:49:15,64.5
2026-06-22 00:49:30,64.3
2026-06-22 00:49:45,64.7
2026-06-22 00:50:00,64.7
2026-06-22 00:50:15,64.5
2026-06-22 00:50:30,64.1
2026-06-22 00:50:45,63.7
2026-06-22 00:51:00,63.5
2026-06-22 00:51:15,64.2
2026-06-22 00:51:30,64.1
2026-06-22 00:51:45,64.0
2026-06-22 00:52:00,64.2
2026-06-22 00:52:15,64.4
2026-06-22 00:52:30,64.4
2026-06-22 00:52:45,64.5
2026-06-22 00:53:00,64.3
2026-06-22 00:53:15,64.4
2026-06-22 00:53:30,64.3
2026-06-22 00:53:45,64.5
2026-06-22 00:54:00,65.9
2026-06-22 00:54:15,66.3
2026-06-22 00:54:30,66.0
2026-06-22 00:54:45,66.5
2026-06-22 00:55:00,66.5
2026-06-22 00:55:15,66.6
2026-06-22 00:55:30,66.0
2026-06-22 00:55:45,66.0
2026-06-22 00:56:00,65.8
2026-06-22 00:56:15,65.7
2026-06-22 00:56:30,67.0
2026-06-22 00:56:45,66.6
2026-06-22 00:57:00,66.7
2026-06-22 00:57:15,66.8
2026-06-22 00:57:30,67.4
2026-06-22 00:57:45,67.5
2026-06-22 00:58:00,67.7
2026-06-22 00:58:15,67.7
2026-06-22 00:58:30,67.7
2026-06-22 00:58:45,67.9
2026-06-22 00:59:00,68.1
2026-06-22 00:59:15,68.3
2026-06-22 00:59:30,68.3
2026-06-22 00:59:45,68.2
2026-06-22 01:00:00,68.6
2026-06-22 01:00:15,68.4
2026-06-22 01:00:30,68.3
