"Time","stddev_over_time(sum(rate(producer_messages_sent_total[30s]))[20m:])"
2026-06-22 00:30:30,459
2026-06-22 00:30:45,437
2026-06-22 00:31:00,418
2026-06-22 00:31:15,401
2026-06-22 00:31:30,385
2026-06-22 00:31:45,372
2026-06-22 00:32:00,359
2026-06-22 00:32:15,348
2026-06-22 00:32:30,338
2026-06-22 00:32:45,329
2026-06-22 00:33:00,320
2026-06-22 00:33:15,312
2026-06-22 00:33:30,305
2026-06-22 00:33:45,298
2026-06-22 00:34:00,291
2026-06-22 00:34:15,285
2026-06-22 00:34:30,280
2026-06-22 00:34:45,274
2026-06-22 00:35:00,269
2026-06-22 00:35:15,264
2026-06-22 00:35:30,260
2026-06-22 00:35:45,256
2026-06-22 00:36:00,251
2026-06-22 00:36:15,247
2026-06-22 00:36:30,244
2026-06-22 00:36:45,240
2026-06-22 00:37:00,237
2026-06-22 00:37:15,233
2026-06-22 00:37:30,230
2026-06-22 00:37:45,227
2026-06-22 00:38:00,224
2026-06-22 00:38:15,222
2026-06-22 00:38:30,219
2026-06-22 00:38:45,216
2026-06-22 00:39:00,214
2026-06-22 00:39:15,211
2026-06-22 00:39:30,209
2026-06-22 00:39:45,207
2026-06-22 00:40:00,204
2026-06-22 00:40:15,202
2026-06-22 00:40:30,200
2026-06-22 00:40:45,198
2026-06-22 00:41:00,196
2026-06-22 00:41:15,194
2026-06-22 00:41:30,193
2026-06-22 00:41:45,191
2026-06-22 00:42:00,189
2026-06-22 00:42:15,187
2026-06-22 00:42:30,186
2026-06-22 00:42:45,184
2026-06-22 00:43:00,183
2026-06-22 00:43:15,181
2026-06-22 00:43:30,180
2026-06-22 00:43:45,178
2026-06-22 00:44:00,177
2026-06-22 00:44:15,175
2026-06-22 00:44:30,174
2026-06-22 00:44:45,173
2026-06-22 00:45:00,171
2026-06-22 00:45:15,170
2026-06-22 00:45:30,169
2026-06-22 00:45:45,168
2026-06-22 00:46:00,166
2026-06-22 00:46:15,165
2026-06-22 00:46:30,164
2026-06-22 00:46:45,163
2026-06-22 00:47:00,162
2026-06-22 00:47:15,161
2026-06-22 00:47:30,160
2026-06-22 00:47:45,159
2026-06-22 00:48:00,158
2026-06-22 00:48:15,157
2026-06-22 00:48:30,156
2026-06-22 00:48:45,155
2026-06-22 00:49:00,12.2
2026-06-22 00:49:15,4.28
2026-06-22 00:49:30,4.27
2026-06-22 00:49:45,4.25
2026-06-22 00:50:00,4.22
2026-06-22 00:50:15,4.19
2026-06-22 00:50:30,4.19
2026-06-22 00:50:45,4.19
2026-06-22 00:51:00,4.19
2026-06-22 00:51:15,4.21
2026-06-22 00:51:30,4.19
2026-06-22 00:51:45,4.20
2026-06-22 00:52:00,4.24
2026-06-22 00:52:15,4.21
2026-06-22 00:52:30,4.16
2026-06-22 00:52:45,4.20
2026-06-22 00:53:00,4.19
2026-06-22 00:53:15,4.15
2026-06-22 00:53:30,4.32
2026-06-22 00:53:45,4.31
2026-06-22 00:54:00,4.31
2026-06-22 00:54:15,4.32
2026-06-22 00:54:30,4.32
2026-06-22 00:54:45,4.36
2026-06-22 00:55:00,4.32
2026-06-22 00:55:15,4.35
2026-06-22 00:55:30,4.36
2026-06-22 00:55:45,4.37
2026-06-22 00:56:00,4.49
2026-06-22 00:56:15,4.48
2026-06-22 00:56:30,4.49
2026-06-22 00:56:45,4.49
2026-06-22 00:57:00,4.52
2026-06-22 00:57:15,4.53
2026-06-22 00:57:30,4.46
2026-06-22 00:57:45,4.29
2026-06-22 00:58:00,4.28
2026-06-22 00:58:15,4.28
2026-06-22 00:58:30,4.28
2026-06-22 00:58:45,4.28
2026-06-22 00:59:00,4.23
2026-06-22 00:59:15,4.16
2026-06-22 00:59:30,4.25
2026-06-22 00:59:45,4.23
2026-06-22 01:00:00,4.12
2026-06-22 01:00:15,4.10
2026-06-22 01:00:30,4.09
