"Time","avg_over_time(sum(rate(producer_messages_sent_total[30s]))[20m:])"
2026-06-22 01:17:15,4773
2026-06-22 01:17:30,4811
2026-06-22 01:17:45,4850
2026-06-22 01:18:00,4888
2026-06-22 01:18:15,4926
2026-06-22 01:18:30,4965
2026-06-22 01:18:45,5003
2026-06-22 01:19:00,5042
2026-06-22 01:19:15,5080
2026-06-22 01:19:30,5118
2026-06-22 01:19:45,5157
2026-06-22 01:20:00,5195
2026-06-22 01:20:15,5234
2026-06-22 01:20:30,5272
2026-06-22 01:20:45,5311
2026-06-22 01:21:00,5349
2026-06-22 01:21:15,5387
2026-06-22 01:21:30,5426
2026-06-22 01:21:45,5464
2026-06-22 01:22:00,5503
2026-06-22 01:22:15,5541
2026-06-22 01:22:30,5580
2026-06-22 01:22:45,5618
2026-06-22 01:23:00,5656
2026-06-22 01:23:15,5695
2026-06-22 01:23:30,5733
2026-06-22 01:23:45,5772
2026-06-22 01:24:00,5810
2026-06-22 01:24:15,5849
2026-06-22 01:24:30,5894
2026-06-22 01:24:45,5962
2026-06-22 01:25:00,5963
2026-06-22 01:25:15,5963
2026-06-22 01:25:30,5964
2026-06-22 01:25:45,5997
2026-06-22 01:26:00,6000
2026-06-22 01:26:15,6000
2026-06-22 01:26:30,6000
2026-06-22 01:26:45,6000
2026-06-22 01:27:00,6000
2026-06-22 01:27:15,6000
2026-06-22 01:27:30,6000
2026-06-22 01:27:45,6000
2026-06-22 01:28:00,6000
2026-06-22 01:28:15,6000
2026-06-22 01:28:30,6000
2026-06-22 01:28:45,6000
2026-06-22 01:29:00,6000
2026-06-22 01:29:15,6000
2026-06-22 01:29:30,6000
2026-06-22 01:29:45,6000
2026-06-22 01:30:00,6000
2026-06-22 01:30:15,6000
2026-06-22 01:30:30,6000
2026-06-22 01:30:45,6000
2026-06-22 01:31:00,5992
2026-06-22 01:31:15,5992
2026-06-22 01:31:30,5992
2026-06-22 01:31:45,5993
2026-06-22 01:32:00,5993
2026-06-22 01:32:15,5993
