"Time","1000 *
histogram_quantile(
  0.99,
  sum by (le) (rate(consumer_e2e_latency_seconds_bucket[30s]))
)"
2026-06-22 01:17:45,846
2026-06-22 01:18:00,634
2026-06-22 01:18:15,1350
2026-06-22 01:18:30,1349
2026-06-22 01:18:45,460
2026-06-22 01:19:00,491
2026-06-22 01:19:15,848
2026-06-22 01:19:30,909
2026-06-22 01:19:45,1732
2026-06-22 01:20:00,1735
2026-06-22 01:20:15,451
2026-06-22 01:20:30,465
2026-06-22 01:20:45,567
2026-06-22 01:21:00,673
2026-06-22 01:21:15,496
2026-06-22 01:21:30,813
2026-06-22 01:21:45,688
2026-06-22 01:22:00,490
2026-06-22 01:22:15,929
2026-06-22 01:22:30,920
2026-06-22 01:22:45,781
2026-06-22 01:23:00,792
2026-06-22 01:23:15,703
2026-06-22 01:23:30,690
2026-06-22 01:23:45,878
2026-06-22 01:24:00,815
2026-06-22 01:24:15,789
2026-06-22 01:24:30,875
2026-06-22 01:24:45,800
2026-06-22 01:25:00,688
2026-06-22 01:25:15,1533
2026-06-22 01:25:30,1548
2026-06-22 01:25:45,640
2026-06-22 01:26:00,625
2026-06-22 01:26:15,839
2026-06-22 01:26:30,840
2026-06-22 01:26:45,1221
2026-06-22 01:27:00,1225
2026-06-22 01:27:15,564
2026-06-22 01:27:30,543
2026-06-22 01:27:45,574
2026-06-22 01:28:00,896
2026-06-22 01:28:15,1445
2026-06-22 01:28:30,1257
2026-06-22 01:28:45,453
2026-06-22 01:29:00,450
2026-06-22 01:29:15,484
2026-06-22 01:29:30,600
2026-06-22 01:29:45,593
2026-06-22 01:30:00,481
2026-06-22 01:30:15,595
2026-06-22 01:30:30,745
2026-06-22 01:30:45,993
2026-06-22 01:31:00,1070
2026-06-22 01:31:15,788
2026-06-22 01:31:30,909
2026-06-22 01:31:45,900
2026-06-22 01:32:00,801
2026-06-22 01:32:15,1315
2026-06-22 01:32:30,1505
2026-06-22 01:32:45,1282
