"Time","stddev_over_time(sum(consumer_total_lag)[20m:])"
2026-06-22 01:51:00,62.0
2026-06-22 01:51:15,63.1
2026-06-22 01:51:30,61.2
2026-06-22 01:51:45,61.2
2026-06-22 01:52:00,61.5
2026-06-22 01:52:15,61.6
2026-06-22 01:52:30,61.8
2026-06-22 01:52:45,62.7
2026-06-22 01:53:00,63.6
2026-06-22 01:53:15,63.2
2026-06-22 01:53:30,63.5
2026-06-22 01:53:45,64.4
2026-06-22 01:54:00,63.5
2026-06-22 01:54:15,63.6
2026-06-22 01:54:30,63.0
2026-06-22 01:54:45,62.4
2026-06-22 01:55:00,62.0
2026-06-22 01:55:15,61.6
2026-06-22 01:55:30,61.0
2026-06-22 01:55:45,60.8
2026-06-22 01:56:00,60.8
2026-06-22 01:56:15,60.2
2026-06-22 01:56:30,62.3
2026-06-22 01:56:45,61.7
2026-06-22 01:57:00,61.1
2026-06-22 01:57:15,60.8
2026-06-22 01:57:30,60.2
2026-06-22 01:57:45,59.6
2026-06-22 01:58:00,60.1
2026-06-22 01:58:15,59.6
2026-06-22 01:58:30,59.2
2026-06-22 01:58:45,58.7
2026-06-22 01:59:00,58.6
2026-06-22 01:59:15,58.4
2026-06-22 01:59:30,57.9
2026-06-22 01:59:45,57.6
2026-06-22 02:00:00,57.1
2026-06-22 02:00:15,56.7
2026-06-22 02:00:30,56.3
2026-06-22 02:00:45,55.9
2026-06-22 02:01:00,55.5
2026-06-22 02:01:15,55.3
2026-06-22 02:01:30,55.0
2026-06-22 02:01:45,54.6
2026-06-22 02:02:00,54.2
2026-06-22 02:02:15,53.8
2026-06-22 02:02:30,57.9
2026-06-22 02:02:45,57.5
2026-06-22 02:03:00,57.5
2026-06-22 02:03:15,57.1
2026-06-22 02:03:30,57.9
2026-06-22 02:03:45,58.6
2026-06-22 02:04:00,59.3
2026-06-22 02:04:15,59.3
2026-06-22 02:04:30,59.3
2026-06-22 02:04:45,59.3
2026-06-22 02:05:00,59.3
2026-06-22 02:05:15,59.3
2026-06-22 02:05:30,59.3
2026-06-22 02:05:45,59.3
2026-06-22 02:06:00,59.3
