"Time","avg_over_time(avg(consumer_lag_skew_ratio)[20m:])"
2026-06-22 01:50:45,0.404
2026-06-22 01:51:00,0.397
2026-06-22 01:51:15,0.391
2026-06-22 01:51:30,0.391
2026-06-22 01:51:45,0.393
2026-06-22 01:52:00,0.391
2026-06-22 01:52:15,0.393
2026-06-22 01:52:30,0.392
2026-06-22 01:52:45,0.392
2026-06-22 01:53:00,0.392
2026-06-22 01:53:15,0.392
2026-06-22 01:53:30,0.392
2026-06-22 01:53:45,0.389
2026-06-22 01:54:00,0.411
2026-06-22 01:54:15,0.417
2026-06-22 01:54:30,0.423
2026-06-22 01:54:45,0.428
2026-06-22 01:55:00,0.432
2026-06-22 01:55:15,0.439
2026-06-22 01:55:30,0.442
2026-06-22 01:55:45,0.446
2026-06-22 01:56:00,0.451
2026-06-22 01:56:15,0.454
2026-06-22 01:56:30,0.458
2026-06-22 01:56:45,0.462
2026-06-22 01:57:00,0.466
2026-06-22 01:57:15,0.470
2026-06-22 01:57:30,0.474
2026-06-22 01:57:45,0.476
2026-06-22 01:58:00,0.479
2026-06-22 01:58:15,0.477
2026-06-22 01:58:30,0.479
2026-06-22 01:58:45,0.481
2026-06-22 01:59:00,0.483
2026-06-22 01:59:15,0.485
2026-06-22 01:59:30,0.486
2026-06-22 01:59:45,0.488
2026-06-22 02:00:00,0.491
2026-06-22 02:00:15,0.495
2026-06-22 02:00:30,0.495
2026-06-22 02:00:45,0.497
2026-06-22 02:01:00,0.498
2026-06-22 02:01:15,0.500
2026-06-22 02:01:30,0.501
2026-06-22 02:01:45,0.504
2026-06-22 02:02:00,0.506
2026-06-22 02:02:15,0.509
2026-06-22 02:02:30,0.513
2026-06-22 02:02:45,0.513
2026-06-22 02:03:00,0.517
2026-06-22 02:03:15,0.519
2026-06-22 02:03:30,0.512
2026-06-22 02:03:45,0.505
2026-06-22 02:04:00,0.499
2026-06-22 02:04:15,0.499
2026-06-22 02:04:30,0.499
2026-06-22 02:04:45,0.499
2026-06-22 02:05:00,0.499
2026-06-22 02:05:15,0.499
2026-06-22 02:05:30,0.499
2026-06-22 02:05:45,0.499
