index,topic,size_bytes,producer_timestamp,consumer_timestamp,consumer_delay_sec,application_timestamp,application_delay_sec
255531,synthetic_1,104,1751154231.6247628,1751154744.145579,512.5208163261414,1751154789.7165163,45.570937156677246
255541,synthetic_1,90,1751154231.6248982,1751154744.1456418,512.5207436084747,1751154789.7165163,45.57087445259094
255551,synthetic_1,97,1751154231.6250386,1751154744.145659,512.5206203460693,1751154789.7165163,45.57085728645325
255561,synthetic_1,99,1751154231.6251707,1751154744.1456678,512.5204970836639,1751154789.7165163,45.57084846496582
255571,synthetic_1,88,1751154231.625305,1751154744.1456766,512.5203716754913,1751154789.7165163,45.570839643478394
255581,synthetic_1,97,1751154231.6254425,1751154744.1456847,512.5202422142029,1751154789.7165163,45.570831537246704
255591,synthetic_1,83,1751154231.6255782,1751154744.145692,512.5201139450073,1751154789.7165163,45.57082414627075
255601,synthetic_1,94,1751154231.62571,1751154744.145702,512.5199918746948,1751154789.7165163,45.57081437110901
255611,synthetic_1,82,1751154231.625843,1751154744.145709,512.5198659896851,1751154789.7165163,45.570807218551636
255621,synthetic_1,89,1751154231.6259778,1751154744.1457164,512.5197386741638,1751154789.7165163,45.570799827575684
255631,synthetic_1,88,1751154231.6261158,1751154744.1457236,512.5196077823639,1751154789.7165163,45.57079267501831
255641,synthetic_1,83,1751154231.6262486,1751154744.1457312,512.5194826126099,1751154789.7165163,45.57078504562378
255651,synthetic_1,82,1751154231.626387,1751154744.1457386,512.5193517208099,1751154789.7165163,45.57077765464783
255661,synthetic_1,80,1751154231.626524,1751154744.1457455,512.5192215442657,1751154789.7165163,45.57077074050903
255671,synthetic_1,86,1751154231.626658,1751154744.145753,512.5190947055817,1751154789.7165163,45.57076334953308
255681,synthetic_1,88,1751154231.6267977,1751154744.1457622,512.5189645290375,1751154789.7165163,45.570754051208496
255691,synthetic_1,104,1751154231.6269372,1751154744.1457698,512.5188326835632,1751154789.7165163,45.570746421813965
255701,synthetic_1,103,1751154231.6270778,1751154744.1457782,512.5187003612518,1751154789.7165163,45.570738077163696
255711,synthetic_1,90,1751154231.6272178,1751154744.1457858,512.5185680389404,1751154789.7165163,45.570730447769165
255721,synthetic_1,101,1751154231.6273582,1751154744.1457937,512.5184354782104,1751154789.7165163,45.570722579956055
255731,synthetic_1,97,1751154231.6274884,1751154744.1458015,512.5183131694794,1751154789.7165163,45.570714712142944
