index,topic,size_bytes,producer_timestamp,consumer_timestamp,consumer_delay_sec
6123094,synthetic_4,97,1750890510.0279415,1751154089.4300187,263579.402077198
6123104,synthetic_4,98,1750890510.0282733,1751154089.4300697,263579.40179634094
6123114,synthetic_4,98,1750890510.1184654,1751154089.4300811,263579.3116157055
6123124,synthetic_4,91,1750890510.1188529,1751154089.43009,263579.3112370968
6123134,synthetic_4,104,1750890510.1191974,1751154089.4300985,263579.310901165
6123144,synthetic_4,98,1750890510.1195347,1751154089.4301074,263579.3105726242
6123154,synthetic_4,84,1750890510.1198246,1751154089.4301157,263579.31029105186
6123164,synthetic_4,104,1750890510.1201718,1751154089.4301236,263579.3099517822
6123174,synthetic_4,98,1750890510.1205397,1751154089.430132,263579.309592247
6123184,synthetic_4,104,1750890510.1209116,1751154089.4301403,263579.3092286587
6123194,synthetic_4,82,1750890510.12126,1751154089.4301486,263579.3088886738
6123204,synthetic_4,91,1750890510.1215572,1751154089.4301605,263579.30860328674
6123214,synthetic_4,97,1750890510.1220202,1751154089.430174,263579.3081538677
6123224,synthetic_4,104,1750890510.1224318,1751154089.4301925,263579.3077607155
6123234,synthetic_4,83,1750890510.122817,1751154089.4302096,263579.3073925972
6123244,synthetic_4,96,1750890510.1232116,1751154089.430223,263579.3070113659
6123254,synthetic_4,96,1750890510.123623,1751154089.4302373,263579.30661439896
6123264,synthetic_4,83,1750890510.123971,1751154089.4302511,263579.3062801361
6123274,synthetic_4,102,1750890510.1243317,1751154089.4302628,263579.3059310913
6123284,synthetic_4,90,1750890510.124706,1751154089.4302757,263579.30556964874
6123294,synthetic_4,96,1750890510.1249418,1751154089.4302878,263579.3053460121
6123304,synthetic_4,104,1750890510.1252081,1751154089.4303005,263579.30509233475
6123314,synthetic_4,83,1750890510.1254592,1751154089.4303129,263579.30485367775
6123324,synthetic_4,103,1750890510.12574,1751154089.430325,263579.30458498
6123334,synthetic_4,104,1750890510.1260033,1751154089.4303372,263579.30433392525
6123344,synthetic_4,84,1750890510.1262746,1751154089.43035,263579.3040754795
6123354,synthetic_4,104,1750890510.1264937,1751154089.4303622,263579.3038685322
6123364,synthetic_4,90,1750890510.1267133,1751154089.4303772,263579.30366396904
6123374,synthetic_4,98,1750890510.1269405,1751154089.4303892,263579.30344867706
6123384,synthetic_4,90,1750890510.1271648,1751154089.4304018,263579.30323696136
6123394,synthetic_4,102,1750890510.127394,1751154089.4304137,263579.30301976204
6123404,synthetic_4,104,1750890510.127632,1751154089.4304264,263579.3027944565
