index,topic,size_bytes,producer_timestamp,consumer_timestamp,consumer_delay_sec,application_timestamp,application_delay_sec,merge_timestamp,end_to_end_delay,is_late,is_out_of_order,is_duplicate,is_missing_critical,source_file
2977992,synthetic_2,104,1750889575.7264907,1751153626.1694348,264050.44294404984,1751153628.467257,2.2978222370147705,1751153633.5301497,264057.80365896225,False,False,False,False,consumer_pod0_proc0_20250628_233346_176333.csv
2978002,synthetic_2,83,1750889575.7266278,1751153626.169514,264050.4428861141,1751153628.467257,2.297743082046509,1751153633.5301497,264057.80352187157,False,False,False,False,consumer_pod0_proc0_20250628_233346_176333.csv
2978012,synthetic_2,84,1750889575.7267635,1751153626.169528,264050.4427642822,1751153628.467257,2.297729015350342,1751153633.5301497,264057.8033862114,False,False,False,False,consumer_pod0_proc0_20250628_233346_176333.csv
2978022,synthetic_2,84,1750889575.7269056,1751153626.1695392,264050.44263362885,1751153628.467257,2.297717809677124,1751153633.5301497,264057.8032441139,False,False,False,False,consumer_pod0_proc0_20250628_233346_176333.csv
2978032,synthetic_2,95,1750889575.7270503,1751153626.1695502,264050.442499876,1751153628.467257,2.2977068424224854,1751153633.5301497,264057.80309939384,False,False,False,False,consumer_pod0_proc0_20250628_233346_176333.csv
2978042,synthetic_2,84,1750889575.7272024,1751153626.1695626,264050.44236016273,1751153628.467257,2.297694444656372,1751153633.5301497,264057.8029472828,False,False,False,False,consumer_pod0_proc0_20250628_233346_176333.csv
2978052,synthetic_2,96,1750889575.727347,1751153626.169573,264050.4422264099,1751153628.467257,2.297683954238892,1751153633.5301497,264057.80280280113,False,False,False,False,consumer_pod0_proc0_20250628_233346_176333.csv
2978062,synthetic_2,84,1750889575.727496,1751153626.1695848,264050.442088604,1751153628.467257,2.297672271728516,1751153633.5301497,264057.8026537895,False,False,False,False,consumer_pod0_proc0_20250628_233346_176333.csv
2978072,synthetic_2,91,1750889575.7276375,1751153626.1695943,264050.4419569969,1751153628.467257,2.297662734985352,1751153633.5301497,264057.8025121689,False,False,False,False,consumer_pod0_proc0_20250628_233346_176333.csv
2978082,synthetic_2,105,1750889575.7277927,1751153626.1696055,264050.4418129921,1751153628.467257,2.297651529312134,1751153633.5301497,264057.8023569584,False,False,False,False,consumer_pod0_proc0_20250628_233346_176333.csv
2978092,synthetic_2,104,1750889575.7279398,1751153626.1696174,264050.44167757034,1751153628.467257,2.2976396083831787,1751153633.5301497,264057.8022098541,False,False,False,False,consumer_pod0_proc0_20250628_233346_176333.csv
2978102,synthetic_2,102,1750889575.728085,1751153626.1696284,264050.4415433407,1751153628.467257,2.29762864112854,1751153633.5301497,264057.8020646572,False,False,False,False,consumer_pod0_proc0_20250628_233346_176333.csv
2978112,synthetic_2,90,1750889575.728229,1751153626.1696389,264050.4414098263,1751153628.467257,2.29761815071106,1751153633.5301497,264057.8019206524,False,False,False,False,consumer_pod0_proc0_20250628_233346_176333.csv
2978122,synthetic_2,89,1750889575.72838,1751153626.169649,264050.4412689209,1751153628.467257,2.2976081371307373,1751153633.5301497,264057.8017697334,False,False,False,False,consumer_pod0_proc0_20250628_233346_176333.csv
2978132,synthetic_2,94,1750889575.817222,1751153626.1696594,264050.35243725777,1751153628.467257,2.297597646713257,1751153633.5301497,264057.7129275799,False,False,False,False,consumer_pod0_proc0_20250628_233346_176333.csv
2978142,synthetic_2,89,1750889575.8174117,1751153626.1696696,264050.352257967,1751153628.467257,2.2975873947143555,1751153633.5301497,264057.7127380371,False,False,False,False,consumer_pod0_proc0_20250628_233346_176333.csv
2978152,synthetic_2,82,1750889575.8175838,1751153626.169681,264050.3520972729,1751153628.467257,2.2975759506225586,1751153633.5301497,264057.7125658989,False,False,False,False,consumer_pod0_proc0_20250628_233346_176333.csv
2978162,synthetic_2,97,1750889575.8177574,1751153626.1696932,264050.3519358635,1751153628.467257,2.2975637912750244,1751153633.5301497,264057.71239233017,False,False,False,False,consumer_pod0_proc0_20250628_233346_176333.csv
